tool,slug,x_handle,tweets_returned,useful_count,bad_count,proof_quality_score,best_3_tweet_urls,notes
Avaturn,avaturn,@avaturn_me,20,17,3,100,https://x.com/PaigePiskin/status/1844623371922751632 | https://x.com/RFOX_VALT/status/1768653428962570745 | https://x.com/DataChaz/status/2059611807057101308,hard_reject_non_english:3
Azure AI Foundry,azure-ai-foundry,@Azure,20,18,2,100,https://x.com/kunalstwt/status/2062159744756822266 | https://x.com/C3_AI/status/2062548964809809947 | https://x.com/acoustik/status/2062003786022010888,hard_reject_crypto_noise:2
Basedash,basedash,@Basedash,20,19,1,100,https://x.com/rabi_guha/status/2041547036529709191 | https://x.com/MarkKnd/status/2032427954806915170 | https://x.com/KrisLachance/status/2059729739145768984,hard_reject_crypto_noise:1
Baseten,baseten,@basetenco,20,18,2,100,https://x.com/NVIDIAAIDev/status/2027515673212293362 | https://x.com/mon__lim/status/2033359034888462517 | https://x.com/creebeauvoir/status/2032681728528310339,hard_reject_non_english:1; hard_reject_crypto_noise:1
Bland AI,bland-ai,@usebland,20,20,0,100,https://x.com/MarioNawfal/status/2036844140227387660 | https://x.com/brycent/status/2063764717726822735 | https://x.com/TechCrunch/status/2037552726310093240,
Bolt,bolt,@boltdotnew,20,10,1,100,https://x.com/claudeai/status/2059662933924123044 | https://x.com/levelsio/status/2059670995259015647 | https://x.com/trynullsec/status/2060684049325199624,hard_reject_crypto_noise:1
Botpress,botpress,@getbotpress,20,17,3,100,https://x.com/alexbouchardd/status/1970158668621697381 | https://x.com/TysonLester/status/1904869661055082907 | https://x.com/DFdavidfontaine/status/1991286003034681370,hard_reject_crypto_noise:3
Browserbase,browserbase,@browserbase,20,20,0,100,https://x.com/harsehaj/status/2062606711899426862 | https://x.com/thunderking_ola/status/2062580141016928396 | https://x.com/naturalpay/status/2062239641257050231,
Buffer API,buffer-api,@buffer,20,17,3,100,https://x.com/mepusica/status/2060962648527864056 | https://x.com/n7studios/status/2059624429362041130 | https://x.com/juste_petr/status/2059650965246980289,hard_reject_non_english:2; hard_reject_crypto_noise:1
Canva AI,canva-ai,@canva,20,19,1,100,https://x.com/aaliya_va/status/2062428520081682510 | https://x.com/SayoOpajimi/status/2061336519521034565 | https://x.com/Jhoie__/status/2062439555081392155,hard_reject_non_english:1
CapCut,capcut,@capcutapp,20,10,5,100,https://x.com/GilangR90760584/status/2062473899586244793 | https://x.com/0xileri/status/2062530776294363401 | https://x.com/hedo_ist/status/2062262053339885711,hard_reject_non_english:4; hard_reject_crypto_noise:1; hard_reject_bluechip_crypto_noise:1
Cartesia,cartesia,@cartesia,20,19,1,100,https://x.com/TRIOMA_AI/status/2063962778398810381 | https://x.com/bolna_dev/status/2060331669446438924 | https://x.com/voicearena_ai/status/2063588923511894365,hard_reject_crypto_noise:1
CatDoes,catdoes,@catdoeshq,20,10,1,100,https://x.com/yeonjidev/status/2012493290277323161 | https://x.com/thisiskp_/status/1962954108173951424 | https://x.com/ayushagarwal/status/2046516198318412114,hard_reject_non_english:1
Character.AI,character-ai,@character_ai,20,19,1,100,https://x.com/GovernorShapiro/status/2057891616275206164 | https://x.com/GovernorShapiro/status/2052462762488717339 | https://x.com/PAGovOffice/status/2057924550663585842,hard_reject_crypto_noise:1
ChatGPT,chatgpt,@ChatGPTapp,20,10,3,100,https://x.com/Cryptic_Web3/status/2062585829856334142 | https://x.com/abs_uiux/status/2062468875556401157 | https://x.com/abs_uiux/status/2062540033639264447,hard_reject_non_english:3
Chroma,chroma,@trychroma,20,19,1,100,https://x.com/_philschmid/status/2037882673616592916 | https://x.com/HammadTime/status/2039809222792409295 | https://x.com/daniel_mac8/status/2040837274124886091,hard_reject_crypto_noise:1
Claude,claude,@claudeai,20,10,4,100,https://x.com/0xBoku/status/2062614342311514555 | https://x.com/Cryptic_Web3/status/2062585829856334142 | https://x.com/james_mccomish/status/2062537346801688761,hard_reject_crypto_noise:4; hard_reject_bluechip_crypto_noise:4
Claude Code,claude-code,@AnthropicAI,20,16,4,100,https://x.com/zendadddy/status/2062973067354419656 | https://x.com/femisapien_z/status/2062984764441932127 | https://x.com/ilex_ulmus/status/2062976916286501265,hard_reject_crypto_noise:3; hard_reject_non_english:1
Cline,cline,@cline,20,19,1,100,https://x.com/BranaRakic/status/2053870229432787306 | https://x.com/MiniMax_AI/status/2061291068570890528 | https://x.com/MiniMax_AI/status/2054616782313582973,hard_reject_non_english:1
Codeium,codeium,@codeiumdev,20,18,2,100,https://x.com/anjalisayswhat/status/1914629699789365274 | https://x.com/CorinneMRiley/status/1909334846499086810 | https://x.com/chrmanning/status/1910398401935794417,hard_reject_non_english:1; hard_reject_crypto_noise:1
CodeRabbit,coderabbit,@coderabbitai,20,20,0,100,https://x.com/MatthewGunnin/status/2062327897688305956 | https://x.com/verycracked/status/2061993884323098641 | https://x.com/jdxcode/status/2061152012528394626,
Cohere,cohere,@cohere,20,17,3,100,https://x.com/tokifyi/status/2061496284931141914 | https://x.com/jameygannon/status/2061196746277916836 | https://x.com/lucashjin/status/2062646181017121179,hard_reject_non_english:1; hard_reject_crypto_noise:2
Comet,comet,@comet,20,19,1,100,https://x.com/EFFYlives/status/2063257540138312053 | https://x.com/jasminstclaire/status/2060753878795370798 | https://x.com/JULIANMEOFICIAL/status/2054685855105609761,hard_reject_non_english:1
ComfyUI,comfyui,@ComfyUI,20,17,3,100,https://x.com/ingi_erlingsson/status/2062568030010265822 | https://x.com/NVIDIARTXSpark/status/2061825397868630454 | https://x.com/RadianceFields/status/2061515964127039683,hard_reject_crypto_noise:1; hard_reject_non_english:2
Consensus,consensus,@ConsensusNLP,20,13,7,100,https://x.com/1752vc/status/2060052388812374161 | https://x.com/TimDraper/status/2054275502991720818 | https://x.com/BioLayne/status/2053871163193839640,hard_reject_non_english:4; hard_reject_crypto_noise:3
Continue.dev,continue-dev,@continuedev,20,19,1,100,https://x.com/COTInetwork/status/2036375165823586521 | https://x.com/vincent_koc/status/2048260059256521035 | https://x.com/solvrbot/status/2061008655718502851,hard_reject_crypto_noise:1
Copy.ai,copy-ai,@copy_ai,20,17,3,100,https://x.com/UiSavior/status/2007576371397005750 | https://x.com/RAVIKUMARSAHU78/status/2017579403824554079 | https://x.com/janetmachuka_/status/2033871774228590755,hard_reject_crypto_noise:2; hard_reject_non_english:1
Coworker AI,coworker-ai,@coworkerapp,20,20,0,100,https://x.com/Jags100x/status/2060086606350934081 | https://x.com/FASTERRDADDY/status/2060096539872161846 | https://x.com/biscuitweb3/status/2060079609748631820,
Crawl4AI,crawl4ai,@crawl4ai,14,12,2,100,https://x.com/unclecode/status/2060354301483168009 | https://x.com/BrettDavies/status/1891686873828852178 | https://x.com/papermoon98/status/1941105827336831299,hard_reject_crypto_noise:1; hard_reject_non_english:1
CrewAI,crewai,@crewAIInc,20,18,2,100,https://x.com/akshay_pachaar/status/2052691407421538805 | https://x.com/brave/status/2061457904801132811 | https://x.com/DataChaz/status/2062563550606860470,hard_reject_crypto_noise:2
Cursor,cursor,@cursor_ai,20,10,3,100,https://x.com/atvictor/status/2062661356579422681 | https://x.com/benkimbuilds/status/2062569819535266138 | https://x.com/ladicodez/status/2062581695875031354,hard_reject_crypto_noise:1; hard_reject_bluechip_crypto_noise:2; hard_reject_non_english:1
D-ID,d-id,@D_ID_,20,13,7,100,https://x.com/HooCrypto/status/2062557675104141484 | https://x.com/__padmanabhan/status/2062107584728104988 | https://x.com/orinthomas/status/1924595977710928067,hard_reject_crypto_noise:5; hard_reject_non_english:3
DALL-E,dall-e,@OpenAI,20,11,9,100,https://x.com/adityavg13/status/2062969651777118495 | https://x.com/Ppkook4/status/2062962179012489720 | https://x.com/rahaincrease/status/2062974769692336262,hard_reject_non_english:9
Databox MCP,databox-mcp,@databoxHQ,10,10,0,100,https://x.com/anujcodes_21/status/2061364816409927748 | https://x.com/RohanChaubey4/status/2034259043976712451 | https://x.com/LangChain/status/2057534426293174709,
Databricks Mosaic AI,databricks-mosaic-ai,@databricks,20,19,1,100,https://x.com/ShannonJoyRadio/status/2062257095118922190 | https://x.com/Covalent_HQ/status/2061870572028727403 | https://x.com/ApacheSpark/status/2061921064415007079,hard_reject_crypto_noise:1
Deepgram,deepgram,@DeepgramAI,20,19,1,100,https://x.com/jasonkneen/status/2053204909445587136 | https://x.com/kwindla/status/2050689078979596762 | https://x.com/nvidia/status/2064473736737358105,hard_reject_non_english:1
DeepSeek,deepseek,@deepseek_ai,20,14,6,100,https://x.com/digitalocean/status/2061858726693511520 | https://x.com/happycapyai/status/2062547132285087988 | https://x.com/Presidentlin/status/2062232427125199275,hard_reject_crypto_noise:5; hard_reject_non_english:1
Descript,descript,@descript,20,10,1,100,https://x.com/biscuitweb3/status/2059628891895931144 | https://x.com/jayneil/status/2054950971948847370 | https://x.com/yxgna_12/status/2061226503145156719,hard_reject_non_english:1
Devin,devin,@cognition_labs,20,17,3,100,https://x.com/zjasper/status/1952576100498133109 | https://x.com/NVIDIAAI/status/2002061365075124344 | https://x.com/MANkol181777/status/1989311492517244942,hard_reject_crypto_noise:2; hard_reject_non_english:1
Dia Browser,dia-browser,@diabrowser,20,16,4,100,https://x.com/adamstern_/status/2056755652635054452 | https://x.com/ryanzhuuuu/status/2055779005706670158 | https://x.com/mcannonbrookes/status/2057932050850861483,hard_reject_non_english:4
Dify,dify,@dify_ai,20,15,5,100,https://x.com/iHarnoorSingh/status/2038755490226913661 | https://x.com/gmi_cloud/status/2038684526495621322 | https://x.com/OrcaRouter/status/2056626805449338996,hard_reject_non_english:2; hard_reject_crypto_noise:3
ElevenLabs,elevenlabs,@ElevenLabs,20,10,1,100,https://x.com/mati/status/2062579348062839057 | https://x.com/ElevenCreative/status/2062580873027866962 | https://x.com/aleximm/status/2062545701679350109,hard_reject_non_english:1
Elicit,elicit,@elicitorg,20,19,1,100,https://x.com/natalienkhalil/status/2050288511622979862 | https://x.com/bimedotcom/status/1995872030214832245 | https://x.com/VivaLaPanda/status/2032143906994078023,hard_reject_non_english:1
Fellou,fellou,@FellouAI,20,16,4,100,https://x.com/TansuYegen/status/1964693909478498700 | https://x.com/altiamkabir/status/1964344156203209047 | https://x.com/JaydenDavid23/status/1972404252195815752,hard_reject_crypto_noise:3; hard_reject_non_english:1
Figma AI,figma-ai,@figma,20,16,4,100,https://x.com/joshclemm/status/2062938722921001461 | https://x.com/GregHuntoon/status/2062941936198226245 | https://x.com/IfeoluwaAjeigb1/status/2062921172040216579,hard_reject_non_english:1; hard_reject_crypto_noise:3
Firecrawl,firecrawl,@firecrawl_dev,20,19,1,100,https://x.com/ericciarla/status/1995172052110918012 | https://x.com/tomosman/status/1995183749190070418 | https://x.com/nickscamara_/status/1998827924737372422,hard_reject_crypto_noise:1
Fireflies.ai,fireflies-ai,@firefliesai,20,17,3,100,https://x.com/virgin_hunter69/status/2054520937530470600 | https://x.com/youfadedwealth/status/2017269458822180917 | https://x.com/TimHaldorsson/status/2046584228263977345,hard_reject_crypto_noise:2; hard_reject_non_english:1
Fireworks AI,fireworks-ai,@FireworksAI_HQ,20,18,2,100,https://x.com/MiniMax_AI/status/2062316914618388758 | https://x.com/dzhulgakov/status/2061877175410934210 | https://x.com/lqiao/status/2062048485181137184,hard_reject_non_english:1; hard_reject_crypto_noise:1
Floot,floot,@floothq,20,10,5,100,https://x.com/yyjhao/status/2003149705556250761 | https://x.com/yyjhao/status/2031040264870244417 | https://x.com/yyjhao/status/2019456812945420670,hard_reject_crypto_noise:2; hard_reject_non_english:3
Flowise,flowise,@FlowiseAI,20,17,3,100,https://x.com/leonvz/status/1955227083874931107 | https://x.com/buchatech/status/1949925027404796168 | https://x.com/truefoundry/status/1945011880231096327,hard_reject_non_english:3
Flux (Black Forest Labs),flux-black-forest-labs,@bfl_ml,20,20,0,100,https://x.com/ChrisGe05/status/2059081067928416615 | https://x.com/fal/status/2057562826030387431 | https://x.com/stacy_muur/status/2061788423674109981,
folk,folk,@FolkHQ,20,17,3,100,https://x.com/pollock/status/2008263927038169401 | https://x.com/hobdaydesign/status/1905286365639569769 | https://x.com/dylsphillips/status/1877440346445197689,hard_reject_non_english:3
Framer,framer,@framer,20,10,2,100,https://x.com/cedric_design/status/2062565378862276764 | https://x.com/MikeXBranderest/status/2062586230341058771 | https://x.com/DesignedByPaul/status/2062586517319475247,hard_reject_crypto_noise:2
Framer AI,framer-ai,@framer,20,10,2,100,https://x.com/cedric_design/status/2062565378862276764 | https://x.com/MikeXBranderest/status/2062586230341058771 | https://x.com/DesignedByPaul/status/2062586517319475247,hard_reject_crypto_noise:2
Freepik AI,freepik-ai,@freepik,20,19,1,100,https://x.com/Anima_Labs/status/2059945501949104496 | https://x.com/beholdthe84/status/2049175520177180919 | https://x.com/abandonedmuse/status/2049233320760705201,hard_reject_non_english:1
Fundraisly,fundraisly,@Fundraisely,17,16,1,100,https://x.com/superteamIE/status/1983101949319970997 | https://x.com/irishnftgal/status/2049800743591231980 | https://x.com/buddiesforpaws/status/2048774724650680349,hard_reject_crypto_noise:1
Gamma,gamma,@GammaApp,20,10,0,100,https://x.com/rosemoni18/status/2061193894080233980 | https://x.com/nikola_mr64990/status/2061348221214150716 | https://x.com/hayyantechtalks/status/2061743220951072985,
Genspark,genspark,@genspark_ai,20,16,4,100,https://x.com/claudeai/status/2057854403558653983 | https://x.com/tanayj/status/2056562736772051376 | https://x.com/DCBK2LA/status/2060780648495808599,hard_reject_non_english:3; hard_reject_crypto_noise:1
GitHub Copilot,github-copilot,@github,20,17,3,100,https://x.com/XBOXGameDev/status/2062595972212068561 | https://x.com/5mukx/status/2062424611476975763 | https://x.com/5mukx/status/2062575012784251229,hard_reject_crypto_noise:3
Glassnode,glassnode,@glassnode,20,13,7,100,https://x.com/Defi_Warhol/status/2059555501139169348 | https://x.com/Cointelegraph/status/2059301147257577658 | https://x.com/Cointelegraph/status/2058923644307259464,hard_reject_crypto_noise:4; hard_reject_non_english:4
Glean,glean,@glean,20,10,3,100,https://x.com/tonygentilcore/status/2057499327224848864 | https://x.com/jainarvind/status/2062520770715173091 | https://x.com/jainarvind/status/2059777832470139020,hard_reject_crypto_noise:3
Google Gemini,google-gemini,@GeminiApp,19,15,4,100,https://x.com/pictsbyai/status/2062943024716382368 | https://x.com/asklumo/status/2062945041564553249 | https://x.com/codi_fyy/status/2062905508164669804,hard_reject_crypto_noise:3; hard_reject_non_english:2
Grammarly,grammarly,@Grammarly,20,18,2,100,https://x.com/mikesmith187/status/1983847375987994928 | https://x.com/gauravvohra/status/1983604439828353473 | https://x.com/prukalpa/status/1983682975071138289,hard_reject_crypto_noise:2
Granola,granola,@meetgranola,20,10,0,100,https://x.com/paularambles/status/2061121761941602406 | https://x.com/bruvimtired/status/2062056525766533425 | https://x.com/soleio/status/2061493565294006499,
Grok,grok,@grok,17,10,5,100,https://x.com/stonetoss/status/2062656107110105389 | https://x.com/cyberjujuuu/status/2062652362934690128 | https://x.com/OloriebiBet/status/2062657452932202648,hard_reject_non_english:5
Groq,groq,@GroqInc,20,15,5,100,https://x.com/ringmagazine/status/2058294542772633983 | https://x.com/Travis_Sch/status/2062195814693278134 | https://x.com/remilouf/status/2055602689728237612,hard_reject_crypto_noise:4; hard_reject_non_english:1
Gumloop,gumloop,@gumloop,20,18,2,100,https://x.com/lennysan/status/2046685688763154800 | https://x.com/gustaf/status/2044939204405387533 | https://x.com/josephbath27/status/2059031630660993171,hard_reject_crypto_noise:2
H2O.ai,h2o-ai,@h2oai,20,10,2,100,https://x.com/srisatish/status/1884690803869860150 | https://x.com/srisatish/status/1884688578627985686 | https://x.com/pandeyparul/status/1847097989703389694,hard_reject_crypto_noise:1; hard_reject_non_english:1
Hailuo,hailuo,@Hailuo_AI,20,16,4,100,https://x.com/I_amShiti/status/2064339171939135835 | https://x.com/Strength04_X/status/2064164125924855968 | https://x.com/JayKay65220066/status/2063954209393803403,hard_reject_non_english:3; hard_reject_crypto_noise:1
Haiper,haiper,@HaiperGenAI,20,13,7,100,https://x.com/NetMindAI/status/1877299276193358240 | https://x.com/savefilmer/status/2057778793176326404 | https://x.com/airina_xyz/status/1901252609370902996,hard_reject_non_english:7
Harvey,harvey,@harvey__ai,20,13,7,100,https://x.com/j0hnwang/status/1953158416274444347 | https://x.com/katieburkie/status/1952381057778737198 | https://x.com/lancedb/status/1950611809289039996,hard_reject_crypto_noise:7
Hebbia,hebbia,@HebbiaAI,20,20,0,100,https://x.com/gsivulka/status/1985735484530688495 | https://x.com/Rippling/status/1956027185090769209 | https://x.com/mgarimella/status/1979269076645220589,
Hedra,hedra,@hedra_labs,20,18,2,100,https://x.com/saniaspeaks_/status/2060714486684659888 | https://x.com/Lupin_Ai_Coder/status/2061714279532040241 | https://x.com/RAVIKUMARSAHU78/status/2060391257583784437,hard_reject_non_english:2
Helicone,helicone,@helicone_ai,20,18,2,100,https://x.com/jeff_weinstein/status/1973120000404644071 | https://x.com/mintlify/status/2028878173971390914 | https://x.com/Hiteshdotcom/status/2028889863966343596,hard_reject_crypto_noise:2
HeyGen,heygen,@HeyGen,20,10,2,100,https://x.com/SiriOnchainX/status/2060975172170174834 | https://x.com/CruzzCtrl1/status/2061403785038119006 | https://x.com/OurTemples/status/2061857845688336667,hard_reject_non_english:1; hard_reject_crypto_noise:1; hard_reject_bluechip_crypto_noise:1
Higgsfield,higgsfield,@higgsfield_ai,19,14,5,100,https://x.com/Mechanismo0/status/2064233949107302610 | https://x.com/AIwithkhan/status/2064322295221682302 | https://x.com/PZDesignAI/status/2063946642571800843,hard_reject_crypto_noise:2; hard_reject_non_english:3
Hour One,hour-one,@HourOneAI,20,19,1,100,https://x.com/reidhoffman/status/1747798446638354780 | https://x.com/riyazmd774/status/1770686555604021352 | https://x.com/googlecloud/status/1793423249017344267,hard_reject_non_english:1
HubSpot,hubspot,@HubSpot,19,10,2,100,https://x.com/imsalariasahil/status/2062120164817338494 | https://x.com/dharmesh/status/2059821376504996215 | https://x.com/Techweek_/status/2059795264823791959,hard_reject_crypto_noise:1; hard_reject_non_english:1
Hugging Face,hugging-face,@huggingface,20,18,2,100,https://x.com/sarahookr/status/2062887988397572145 | https://x.com/multimodalart/status/2062938381785403586 | https://x.com/cohere/status/2062920605507174653,hard_reject_non_english:1; hard_reject_crypto_noise:1
Hume AI,hume-ai,@hume_ai,20,18,2,100,https://x.com/AlanCowen/status/2015176634219876576 | https://x.com/Prince_Canuma/status/2038674930514985363 | https://x.com/zachkrall/status/2037650327214739719,hard_reject_crypto_noise:2
IBM watsonx,ibm-watsonx,@IBMwatsonx,20,13,7,100,https://x.com/IBM/status/1985702188627161475 | https://x.com/IBMNews/status/1986076114238984674 | https://x.com/HaroldSinnott/status/2050712120497430889,hard_reject_crypto_noise:6; hard_reject_non_english:1
Ideogram,ideogram,@ideogram_ai,20,10,5,100,https://x.com/VORTEX_Promos/status/2062276884738490397 | https://x.com/ostrisai/status/2062553810263003319 | https://x.com/MTSlive/status/2062600934786740455,hard_reject_non_english:4; hard_reject_crypto_noise:1
Instantly,instantly,@InstantlyAI,20,10,2,100,https://x.com/aaliya_va/status/2044003553652461909 | https://x.com/jammyvfx/status/2055732997555372270 | https://x.com/bym1xa/status/2054201757283029250,hard_reject_crypto_noise:2
Integuru,integuru,@InteguruAI,17,17,0,100,https://x.com/richardfzhang/status/2059277782048502093 | https://x.com/amapel/status/1865048005604151461 | https://x.com/richardfzhang/status/1870214712937590868,
Intercom Fin,intercom-fin,@intercom,20,17,3,100,https://x.com/CharlieEriksen/status/2049879810034262096 | https://x.com/evilmartians/status/2050240373637677087 | https://x.com/fin_ai/status/2055112576757887427,hard_reject_non_english:2; hard_reject_crypto_noise:1
Inworld,inworld,@inworld_ai,20,19,1,100,https://x.com/CloudflareDev/status/2051717991423725991 | https://x.com/livekit/status/2052417429976895695 | https://x.com/replicate/status/2051700812829893013,hard_reject_crypto_noise:1
Jasper,jasper,@heyjasperai,20,10,2,100,https://x.com/stacy_muur/status/2027122001706704918 | https://x.com/stacy_muur/status/2061788423674109981 | https://x.com/julien_c/status/2059994944861852053,hard_reject_crypto_noise:2
Jina AI,jina-ai,@JinaAI_,20,19,1,100,https://x.com/elastic_devs/status/2032124459113418987 | https://x.com/alvarobartt/status/2024499516418801914 | https://x.com/tomaarsen/status/2024497716701622621,hard_reject_non_english:1
Kaedim,kaedim,@Kaedim3D,20,16,4,100,https://x.com/UplandMe/status/1769861143416480237 | https://x.com/JackSoslow/status/1767568120682881488 | https://x.com/xonebros/status/1777692779918901356,hard_reject_crypto_noise:4
Kagi Assistant,kagi-assistant,@KagiHQ,20,18,2,100,https://x.com/_imsigh/status/2056938408048787826 | https://x.com/AlternativeTo/status/2058587376809869699 | https://x.com/MetrosCorner/status/2057129384750792909,hard_reject_non_english:2
Kalshi,kalshi,@Kalshi,20,17,3,100,https://x.com/TheGrandeTop10/status/2062568606710308955 | https://x.com/lzminsky/status/2062580331065086366 | https://x.com/BrentScher/status/2062589321207574903,hard_reject_non_english:1; hard_reject_crypto_noise:2
Kling,kling,@Kling_ai,20,10,10,100,https://x.com/Strength04_X/status/2062353256538587172 | https://x.com/JayKay65220066/status/2062519739440656731 | https://x.com/JayKay65220066/status/2062474453695570265,hard_reject_non_english:10
Knock Agent for Slack,knock-agent-for-slack,@knocklabs,20,20,0,100,https://x.com/whatyouhide/status/2034265685845524698 | https://x.com/stephenmruiz/status/2064002667274178598 | https://x.com/cjbell_/status/2028580574336553024,
Krea,krea,@krea_ai,20,12,8,100,https://x.com/stacy_muur/status/2061788423674109981 | https://x.com/alievimrakh/status/2061927746763170023 | https://x.com/bobbymind/status/2061877235037163734,hard_reject_non_english:6; hard_reject_crypto_noise:2
LangChain,langchain,@LangChainAI,20,20,0,100,https://x.com/itsafiz/status/2006214122594021510 | https://x.com/ChaiWithJai/status/2002535481699885294 | https://x.com/TDataScience/status/2003590693420191745,
Langflow,langflow,@langflow_ai,20,20,0,100,https://x.com/GroqInc/status/2000653224915980367 | https://x.com/itsafiz/status/1975984201699819877 | https://x.com/python_spaces/status/2003036858545270940,
Langfuse,langfuse,@langfuse,20,20,0,100,https://x.com/marcklingen/status/2049135206565843392 | https://x.com/AndyLackie/status/2053504315705204895 | https://x.com/itsclelia/status/2055192744377872483,
Layer AI,layer-ai,@Layer_AI,20,19,1,100,https://x.com/gizakdag/status/1853469244811248092 | https://x.com/Genzio/status/1883723224577351685 | https://x.com/coin_artist/status/1811076483189985751,hard_reject_crypto_noise:1
Lindy,lindy,@getlindy,20,10,5,100,https://x.com/anujcodes_21/status/2021392103298007212 | https://x.com/chrisbarber/status/2023795071402078387 | https://x.com/thisiskp_/status/2021947558550012016,hard_reject_crypto_noise:5
Linear,linear,@linear,20,10,0,100,https://x.com/karrisaarinen/status/2061506694124060673 | https://x.com/karrisaarinen/status/2060624120778563682 | https://x.com/karrisaarinen/status/2062580986232373652,
LlamaIndex,llamaindex,@llama_index,20,19,1,100,https://x.com/jerryjliu0/status/2057468117618479588 | https://x.com/googleaidevs/status/2060439904929382700 | https://x.com/nehaaaa_6/status/2062086326850392308,hard_reject_crypto_noise:1
LlamaParse,llamaparse,@llama_index,20,19,1,100,https://x.com/googleaidevs/status/2060439904929382700 | https://x.com/nehaaaa_6/status/2062086326850392308 | https://x.com/ConorBronsdon/status/2062602112853536836,hard_reject_crypto_noise:1
LM Studio,lm-studio,@lmstudio,20,14,6,100,https://x.com/LocallyAIApp/status/2062584196619468906 | https://x.com/adrgrondin/status/2062586310041505886 | https://x.com/Letta_AI/status/2057908120102609062,hard_reject_crypto_noise:2; hard_reject_non_english:4
Lovable,lovable,@Lovable,20,10,2,100,https://x.com/claudeai/status/2062558332695556378 | https://x.com/wilson_spearman/status/2061869337133400497 | https://x.com/felixhhaas/status/2062524684143321341,hard_reject_crypto_noise:2
Ludo AI,ludo-ai,@ludo_ai,20,19,1,100,https://x.com/LumeberryMedia/status/1679784434248085505 | https://x.com/LumeberryMedia/status/1669631477489836034 | https://x.com/LumeberryMedia/status/1667054585003876353,hard_reject_non_english:1
Luma,luma,@LumaLabsAI,20,17,3,100,https://x.com/baaadas/status/2060891548401946762 | https://x.com/stacy_muur/status/2061788423674109981 | https://x.com/Designarena/status/2059328621773549811,hard_reject_non_english:1; hard_reject_crypto_noise:2
Magnific,magnific,@Magnific_AI,20,16,4,100,https://x.com/dvorahfr/status/2061029670519513456 | https://x.com/AllaAisling/status/2052809254294241354 | https://x.com/VORTEX_Promos/status/2051265293729562909,hard_reject_non_english:4
Make,make,@make_hq,20,10,2,100,https://x.com/veedstudio/status/2052380394276655235 | https://x.com/Call_Me_Commy/status/2051238173867417976 | https://x.com/sab8a/status/2052462585166061926,hard_reject_non_english:2
