source,tool,slug,in_original_output,original_candidate_count,current_proof_count,broad_discovery_attempted,broad_candidates_found,strict_filter_rejected_count,current_status,root_cause
github,Elicit,elicit,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Exa,exa,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Fetcher,fetcher,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Floot,floot,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Flowise,flowise,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Flux (Black Forest Labs),flux-black-forest-labs,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Framer,framer,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Framer AI,framer-ai,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Freepik AI,freepik-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Gamma,gamma,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,GitHub Copilot,github-copilot,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Glassnode,glassnode,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Glean,glean,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Granola,granola,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Grok,grok,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Gumloop,gumloop,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,H2O.ai,h2o-ai,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Hedra,hedra,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,HeyGen,heygen,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Hour One,hour-one,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,HubSpot,hubspot,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Ideogram,ideogram,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Inbenta,inbenta,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Instantly,instantly,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Inworld,inworld,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Jasper,jasper,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Kaedim,kaedim,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Kalshi,kalshi,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Kling,kling,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Krea,krea,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Langflow,langflow,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Layer AI,layer-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Leonardo AI,leonardo-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Lindy,lindy,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Linear,linear,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Lovable,lovable,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Ludo AI,ludo-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Luma,luma,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Magnific,magnific,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Make,make,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Manus,manus,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Meshy,meshy,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Messari,messari,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Midjourney,midjourney,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,n8n,n8n,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Nansen,nansen,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,NotebookLM,notebooklm,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Notion AI,notion-ai,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,OpenArt,openart,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Option Alpha,option-alpha,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Perplexity,perplexity,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Photoroom,photoroom,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Pika,pika,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Pipedream,pipedream,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,PixieBrix,pixiebrix,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,PixVerse,pixverse,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Playground AI,playground-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Polycam,polycam,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Polymarket,polymarket,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Qodo,qodo,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,QuantConnect,quantconnect,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,QuillBot,quillbot,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Ready Player Me,ready-player-me,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Recraft,recraft,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,remio,remio,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,remove.bg,remove-bg,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Replit,replit,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Research Rabbit,research-rabbit,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Rocket,rocket,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Rosebud AI,rosebud-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Rows,rows,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Runway,runway,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Santiment,santiment,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Saveto AI,saveto-ai,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Scenario,scenario,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Scite,scite,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Semantic Scholar,semantic-scholar,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Slack,slack,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Sourcegraph,sourcegraph,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Spline,spline,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Stockimg AI,stockimg-ai,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Subquadratic,subquadratic,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Suno,suno,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Synthesia,synthesia,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Tabnine,tabnine,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Tavus,tavus,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Tendem,tendem,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,TradingView,tradingview,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,TrendSpider,trendspider,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Tripo,tripo,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Typefully,typefully,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Udio,udio,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,v0,v0,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Veed,veed,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Vercel,vercel,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Veriff,veriff,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Vidu,vidu,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,VoxDeck,voxdeck,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Windsurf,windsurf,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Workato,workato,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Zapier,zapier,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
article,Activepieces,activepieces,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Adapt,adapt,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
article,Adobe Firefly,adobe-firefly,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,AgentOps,agentops,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Apollo,apollo,true,1,1,restored_from_source_ingestion_v1,1,0,has_current_proof,covered_currently
article,Arkham,arkham,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Augment Code,augment-code,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Bolt,bolt,true,1,1,restored_from_source_ingestion_v1,1,0,has_current_proof,covered_currently
article,Canva AI,canva-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,CapCut,capcut,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,CatDoes,catdoes,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Character.AI,character-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,ChatGPT,chatgpt,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
article,Claude,claude,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
article,Cline,cline,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,CodeRabbit,coderabbit,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Connected Papers,connected-papers,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Consensus,consensus,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,CrewAI,crewai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Cursor,cursor,true,3,3,restored_from_source_ingestion_v1,3,0,has_current_proof,covered_currently
article,DeepBrain AI,deepbrain-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,DefiLlama,defillama,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Descript,descript,true,1,1,restored_from_source_ingestion_v1,1,0,has_current_proof,covered_currently
article,Dify,dify,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,ElevenLabs,elevenlabs,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Elicit,elicit,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Exa,exa,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Fetcher,fetcher,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Floot,floot,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Flowise,flowise,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Flux (Black Forest Labs),flux-black-forest-labs,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Framer,framer,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Framer AI,framer-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Freepik AI,freepik-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Gamma,gamma,true,1,1,restored_from_source_ingestion_v1,1,0,has_current_proof,covered_currently
article,GitHub Copilot,github-copilot,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Glassnode,glassnode,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Glean,glean,true,2,2,restored_from_source_ingestion_v1,2,0,has_current_proof,covered_currently
article,Granola,granola,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Grok,grok,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
article,Gumloop,gumloop,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,H2O.ai,h2o-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Hedra,hedra,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,HeyGen,heygen,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Hour One,hour-one,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,HubSpot,hubspot,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Ideogram,ideogram,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Inbenta,inbenta,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Instantly,instantly,true,1,1,restored_from_source_ingestion_v1,1,0,has_current_proof,covered_currently
article,Inworld,inworld,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Jasper,jasper,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Kaedim,kaedim,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Kalshi,kalshi,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Kling,kling,true,3,3,restored_from_source_ingestion_v1,3,0,has_current_proof,covered_currently
article,Krea,krea,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Langflow,langflow,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Layer AI,layer-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Leonardo AI,leonardo-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Lindy,lindy,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Linear,linear,true,1,1,restored_from_source_ingestion_v1,1,0,has_current_proof,covered_currently
article,Lovable,lovable,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Ludo AI,ludo-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Luma,luma,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Magnific,magnific,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Make,make,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
article,Manus,manus,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Meshy,meshy,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Messari,messari,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Midjourney,midjourney,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,n8n,n8n,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Nansen,nansen,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,NotebookLM,notebooklm,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Notion AI,notion-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,OpenArt,openart,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Option Alpha,option-alpha,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Perplexity,perplexity,true,2,2,restored_from_source_ingestion_v1,2,0,has_current_proof,covered_currently
article,Photoroom,photoroom,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Pika,pika,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,Pipedream,pipedream,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,PixieBrix,pixiebrix,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
article,PixVerse,pixverse,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_article_source_was_rss_only_or_missing_public_web_discovery_for_this_tool
