tool,slug,source,websiteUrl,existing_x_handle_if_present,source_confidence,notes
"Jasper","jasper","official_website","https://www.jasper.ai","@heyjasperai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.jasper.ai"
"Glean","glean","official_website","https://www.glean.com","@glean","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.glean.com"
"Make","make","missing","https://www.make.com","","0","No clear company X account found."
"Framer AI","framer-ai","official_website","https://www.framer.com/ai","@framer","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.framer.com/ai"
"Vercel","vercel","official_website","https://vercel.com","@vercel","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://vercel.com"
"n8n","n8n","official_website","https://n8n.io","@n8n_io","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://n8n.io"
"Apollo","apollo","official_website","https://www.apollo.io","@useapolloio","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.apollo.io"
"Framer","framer","official_website","https://www.framer.com","@framer","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.framer.com"
"Typefully","typefully","missing","https://typefully.com","","0","No clear company X account found."
"Slack","slack","official_website","https://slack.com","@slackhq","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://slack.com"
"HubSpot","hubspot","official_website","https://www.hubspot.com","@HubSpot","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.hubspot.com"
"Instantly","instantly","official_website","https://instantly.ai","@InstantlyAI","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://instantly.ai"
"Taplio","taplio","missing","https://taplio.com","","0","No clear company X account found."
"LinkedIn","linkedin","missing","https://www.linkedin.com","","0","No clear company X account found."
"Google Maps","google-maps","missing","https://www.google.com/maps","","0","No clear company X account found."
"Adapt","adapt","official_website","https://adapt.com","@adapt","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://adapt.com"
"Vtuber Assistant","vtuber-assistant","missing","https://store.steampowered.com/app/4464930/Vtuber_Assistant","","0","No clear company X account found."
"Resumedit","resumedit","taaft","https://www.resumedit.com","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/Resumedit/"
"Thrive Financial","thrive-financial","missing","https://thrivefinancial.app","","0","No clear company X account found."
"MyCustodyCoach","mycustodycoach","taaft","https://mycustodycoach.com","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/MyCustodyCoach/"
"FastiAds","fastiads","missing","https://www.fastiads.com","","0","No clear company X account found."
"UFate","ufate","missing","https://www.ufate.ai","","0","No clear company X account found."
"PNGMaker","pngmaker","official_website","https://png-maker.com","@PNGMaker","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://png-maker.com"
"ApiPosture","apiposture","missing","https://www.apiposture.com","","0","No clear company X account found."
"BuddyPro","buddypro","missing","https://buddypro.ai","","0","No clear company X account found."
"PlotStudio AI","plotstudio-ai","missing","https://www.plotstudio.ai","","0","No clear company X account found."
"General Compute","general-compute","missing","https://www.generalcompute.com","","0","No clear company X account found."
"Franki","franki","missing","https://www.chat-to-franki.com","","0","No clear company X account found."
"TeachQuill","teachquill","missing","https://teachquill.com","","0","No clear company X account found."
"WearMind","wearmind","taaft","https://aishirt.app","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/WearMind/"
"OpenBudget","openbudget","missing","https://openbudget.sh","","0","No clear company X account found."
"ImagineGo","imaginego","taaft","https://imaginego.ai/text-to-video","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/ImagineGo/"
"EduSolver","edusolver","missing","https://edusolver.io","","0","No clear company X account found."
"BeyondComments","beyondcomments","official_website","https://beyondcomments.io","@programmerByDay","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://beyondcomments.io"
"BookCoversLab","bookcoverslab","official_website","https://bookcoverslab.com","@BookCoversLab","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://bookcoverslab.com"
"NDORFlow","ndorflow","missing","https://ndorflow.app","","0","No clear company X account found."
"Melody Genie","melody-genie","missing","https://melodygenie.app","","0","No clear company X account found."
"AI Inspo","ai-inspo","official_website","https://www.ai-inspo.com/video/image-to-video","@AIInspoOfficial","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.ai-inspo.com/video/image-to-video"
"MakeForm","makeform","official_website","https://www.makeform.ai","@_nilni","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.makeform.ai"
"Link To Text","link-to-text","missing","https://linktotext.co","","0","No clear company X account found."
"Aiter.io","aiter-io","official_website","https://aiter.io","@aiter_io","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://aiter.io"
"Dokie","dokie","missing","https://dokie.ai","","0","No clear company X account found."
"CatDoes","catdoes","official_website","https://catdoes.com","@catdoeshq","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://catdoes.com"
"WebZum","webzum","missing","https://webzum.com","","0","No clear company X account found."
"FliesReplies","fliesreplies","official_website","https://www.fliesreplies.com","@fliesreplies","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.fliesreplies.com"
"Vismint","vismint","taaft","https://vismint.com","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/Vismint/"
"Gamelabs Studio","gamelabs-studio","missing","https://gamelabstudio.co","","0","No clear company X account found."
"ShortsMate","shortsmate","missing","https://shortsmate.ai","","0","No clear company X account found."
"Asteroid AI","asteroid-ai","official_website","https://asteroid.ai","@asteroid_inc","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://asteroid.ai"
"Adrian","adrian","missing","https://github.com/secureagentics/Adrian","","0","No clear company X account found."
"CEOfriend","ceofriend","missing","https://www.ceofriend.ai","","0","No clear company X account found."
"Distill.cv","distill-cv","missing","https://distill.cv","","0","No clear company X account found."
"Elevoi","elevoi","taaft","https://elevoi.ca","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/Elevoi/"
"Image3D AI","image3d-ai","missing","https://www.aiimageto3d.com","","0","No clear company X account found."
"LyricMV","lyricmv","official_website","https://lyricmv.com","@lyricmvofficia","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://lyricmv.com"
"Matrix Coder","matrix-coder","missing","https://matrixcoder.io","","0","No clear company X account found."
"Notis","notis","official_website","https://notis.ai","@mindtheflo","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://notis.ai"
"Thumbs AI","thumbs-ai","missing","https://www.thumbs.ai","","0","No clear company X account found."
"HomeRestyle AI","homerestyle-ai","official_website","https://www.homerestyle.ai","@HomeRestyle_ai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.homerestyle.ai"
"VideoSwap.app","videoswap-app","missing","https://www.videoswap.app","","0","No clear company X account found."
"SocialClip Studio","socialclip-studio","missing","https://socialclipstudio.com","","0","No clear company X account found."
"AppDeploy","appdeploy","official_website","https://appdeploy.ai","@appdeployai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://appdeploy.ai"
"Coursebox","coursebox","taaft","https://www.coursebox.ai","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/ai/coursebox/"
"remio","remio","official_website","https://www.remio.ai","@remio_ai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.remio.ai"
"Baby Magic","baby-magic","missing","https://www.babymagic.app/ai-baby-image","","0","No clear company X account found."
"BetterSpace","betterspace","official_website","https://www.betterspace.ai","@betterspaceai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.betterspace.ai"
"GeekLink","geeklink","official_website","https://geeklink.dev","@florawang_1","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://geeklink.dev"
"HitPublish","hitpublish","missing","https://www.hitpublish.ai","","0","No clear company X account found."
"Audio Transcriber AI","audio-transcriber-ai","official_website","https://audiotranscriber.io","@AudiotoTextAI","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://audiotranscriber.io"
"GlobalPayEX","globalpayex","official_website","https://globalpayex.com","@GlobalPayEX","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://globalpayex.com"
"Ask Bishop","ask-bishop","missing","https://askbishop.app","","0","No clear company X account found."
"Quorlyx Pro","quorlyx-pro","missing","https://quorlyx.dev","","0","No clear company X account found."
"Scavio AI","scavio-ai","missing","https://scavio.dev","","0","No clear company X account found."
"Rift","rift","missing","https://rift-code.com","","0","No clear company X account found."
"DineCraft","dinecraft","missing","https://www.dinecraft.app","","0","No clear company X account found."
"Teneks","teneks","missing","https://www.teneks.ai","","0","No clear company X account found."
"WebCrawler API","webcrawler-api","official_website","https://webcrawlerapi.com","@Webcrawlerapihq","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://webcrawlerapi.com"
"Dock","dock","official_website","https://trydock.ai","@trydock","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://trydock.ai"
"Team Pulse","team-pulse","missing","https://goteampulse.io","","0","No clear company X account found."
"Browserbeam","browserbeam","missing","https://browserbeam.com","","0","No clear company X account found."
"AuthentaLink","authentalink","missing","https://authentalink.com","","0","No clear company X account found."
"Unframe AI","unframe-ai","official_website","https://www.unframe.ai","@UnframeAI","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.unframe.ai"
"Introvrs","introvrs","missing","https://www.introvrs.com","","0","No clear company X account found."
"ModelAtlas","modelatlas","taaft","https://modelatlas.net","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/ModelAtlas/"
"TextSongAI.com","textsongai-com","missing","https://www.textsongai.com","","0","No clear company X account found."
"Nomie","nomie","missing","https://apps.apple.com/us/app/nomie-doomscrolling-break/id6757396354","","0","No clear company X account found."
"BookYolo","bookyolo","official_website","https://bookyolo.com","@bookyoloai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://bookyolo.com"
"Clocsy","clocsy","missing","https://clocsy.com","","0","No clear company X account found."
"Pounce","pounce","missing","https://www.pounce.so","","0","No clear company X account found."
"FaceHub AI","facehub-ai","missing","https://www.facehub.ai","","0","No clear company X account found."
"CloudContact AI","cloudcontact-ai","official_website","https://cloudcontactai.com","@cloudcontactai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://cloudcontactai.com"
"UGO","ugo","taaft","https://try-ugo.com","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/UGO/"
"AI Product Photography.app","ai-product-photography-app","missing","https://aiproductphotography.app","","0","No clear company X account found."
"MusVideo","musvideo","missing","https://musvideo.ai","","0","No clear company X account found."
"PatentFig AI","patentfig-ai","official_website","https://patentfig.ai","@ChenDavie_AI","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://patentfig.ai"
"Flyne AI","flyne-ai","official_website","https://flyne.ai/video-generator","@flyne_ai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://flyne.ai/video-generator"
"Silky AI","silky-ai","missing","https://www.aihair.life","","0","No clear company X account found."
"InstantTranscriber","instanttranscriber","missing","https://instanttranscriber.com","","0","No clear company X account found."
"MagicReels","magicreels","missing","https://magicreels.media","","0","No clear company X account found."
"Vidlogi","vidlogi","missing","https://www.vidlogi.com/en","","0","No clear company X account found."
"Sunny by Sunburnt AI","sunny-by-sunburnt-ai","missing","https://sunburntai.com.au/sunny-agentic-ai-operating-system","","0","No clear company X account found."
"Floot","floot","official_website","https://floot.com","@floothq","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://floot.com"
"AI Landscape Design by Yuzu","ai-landscape-design-by-yuzu","missing","https://yuzudesign.ai/landscape-design-ai","","0","No clear company X account found."
"Koinonos","koinonos","missing","https://www.koinonos.app","","0","No clear company X account found."
"DebaterX","debaterx","missing","https://www.debaterx.app","","0","No clear company X account found."
"Subquadratic","subquadratic","official_website","https://subq.ai","@subquadratic","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://subq.ai"
"Ozigi","ozigi","missing","https://ozigi.app","","0","No clear company X account found."
"Rundown","rundown","missing","https://getrundown.xyz","","0","No clear company X account found."
"Whisper Web","whisper-web","missing","https://whisperweb.tech","","0","No clear company X account found."
"Prosed","prosed","missing","https://tryprosed.com","","0","No clear company X account found."
"AI Effect.Art","ai-effect-art","official_website","https://www.aieffect.art/ai-image-generator","@aieffect_art","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.aieffect.art/ai-image-generator"
"Ask the Record","ask-the-record","missing","https://www.asktherecord.com","","0","No clear company X account found."
"AstroCarto","astrocarto","missing","https://astrocarto.net","","0","No clear company X account found."
"iDox.ai Guardrail","idox-ai-guardrail","official_website","https://www.idox.ai/products/guardrail","@idox_ai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.idox.ai/products/guardrail"
"OptiHedge","optihedge","missing","https://optihedge.ai","","0","No clear company X account found."
"SongMuse AI","songmuse-ai","missing","https://songmuse.art","","0","No clear company X account found."
"AI Image 2 Video","ai-image-2-video","missing","https://aiimage2video.pro","","0","No clear company X account found."
"SpeedPainter","speedpainter","missing","https://www.speedpainter.org/en","","0","No clear company X account found."
"RFP.ai","rfp-ai","missing","https://rfp.ai","","0","No clear company X account found."
"Live Like The River","live-like-the-river","missing","https://www.liveliketheriver.com","","0","No clear company X account found."
"Solyo","solyo","official_website","https://solyo.ai","@solyo_official","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://solyo.ai"
"GroundScholar","groundscholar","taaft","https://groundscholar.com","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/GroundScholar/"
"AirMusic","airmusic","taaft","https://airmusic.ai/ai-music-video-generator","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/AirMusic/"
"Paraspeech","paraspeech","missing","https://paraspeech.com","","0","No clear company X account found."
"Babelbeez","babelbeez","official_website","https://www.babelbeez.com","@babelbeez","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.babelbeez.com"
"Vertech Academy","vertech-academy","missing","https://www.vertechacademy.ca","","0","No clear company X account found."
"SciDraw AI","scidraw-ai","official_website","https://sci-draw.com","@sci_draw","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://sci-draw.com"
"Vireel AI Image to Video Generator","vireel-ai-image-to-video-generator","missing","https://vireels.ai/ai-image-to-video","","0","No clear company X account found."
"AI Aware","ai-aware","missing","https://aiaware.io","","0","No clear company X account found."
"MadeFine AI","madefine-ai","missing","https://madefine.ai","","0","No clear company X account found."
"Lyric Remix Studio","lyric-remix-studio","missing","https://lyricremixgemini.iacolettisoftware.com","","0","No clear company X account found."
"NestTrack","nesttrack","taaft","https://www.nesttrack.xyz","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/NestTrack/"
"DashJob AI","dashjob-ai","missing","https://dashjob.ai","","0","No clear company X account found."
"LobbyStack","lobbystack","taaft","https://lobbystack.com","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/LobbyStack/"
"VibeBot","vibebot","official_website","https://www.vibebot.gg","@vibebot_gg","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.vibebot.gg"
"Saveto AI","saveto-ai","official_website","https://saveto.ai/instagram-transcript-generator","@saveto_ai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://saveto.ai/instagram-transcript-generator"
"DescribeThat","describethat","missing","https://describethatclaude.iacolettisoftware.com","","0","No clear company X account found."
"ColorJibe","colorjibe","taaft","https://colorjibe.com","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/ColorJibe/"
"Vdoo AI","vdoo-ai","missing","https://vdoo.ai/image-to-video","","0","No clear company X account found."
"Kairval","kairval","official_website","https://kairval.com/ai/text-to-video","@kairval","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://kairval.com/ai/text-to-video"
"Himedia","himedia","missing","https://himedia.ai/image-to-video","","0","No clear company X account found."
"Vidnix","vidnix","missing","https://vidnix.ai/image-to-video","","0","No clear company X account found."
"AI Photo Editor","ai-photo-editor","missing","https://aiphotoeditor.io","","0","No clear company X account found."
"Epochal","epochal","official_website","https://epochal.app","@epochal_app","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://epochal.app"
"Viyou AI Motion Control","viyou-ai-motion-control","official_website","https://viyou.ai/ai-motion-control","@viyouAI","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://viyou.ai/ai-motion-control"
"PAI","pai","missing","https://www.utopaistudios.com/waitlist","","0","No clear company X account found."
"Creen AI","creen-ai","missing","https://www.creen.ai","","0","No clear company X account found."
"AI Kiss","ai-kiss","missing","https://aikiss.art","","0","No clear company X account found."
"Vidflux","vidflux","missing","https://vidflux.ai/video-effect/ai-bikini-video-generator","","0","No clear company X account found."
"VoooAI","voooai","missing","https://voooai.com","","0","No clear company X account found."
"Music Video Generator","music-video-generator","missing","https://musicvideogenerator.app","","0","No clear company X account found."
"CleanVideoAI Watermark Removal","cleanvideoai-watermark-removal","missing","https://www.videowatermarkremove.com","","0","No clear company X account found."
"Tendem","tendem","official_website","https://tendem.ai","@Tendem_AI","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://tendem.ai"
"Rusheslab","rusheslab","missing","https://rusheslab.ai","","0","No clear company X account found."
"Fineshare Sora Watermark Remover","fineshare-sora-watermark-remover","missing","https://www.fineshare.net/ai-video/sora-watermark-remover","","0","No clear company X account found."
"Verdent","verdent","official_website","https://www.verdent.ai/?ots=theresanaiforthat","@verdent_ai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.verdent.ai/?ots=theresanaiforthat"
"MixMaster Pro","mixmaster-pro","missing","https://mixmasterpro.io","","0","No clear company X account found."
"Slidely AI (backed by YC)","slidely-ai-backed-by-yc","missing","https://slidely.ai","","0","No clear company X account found."
"GeoInfer","geoinfer","official_website","https://geoinfer.com/en","@geoinfer","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://geoinfer.com/en"
"Rocket","rocket","official_website","https://www.rocket.new","@rocketdotnew","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.rocket.new"
"Base44","base44","missing","https://base44.pxf.io/c/6410050/2477538/25619?trafcat=hp","","0","No clear company X account found."
"biela.dev","biela-dev","missing","https://biela.dev","","0","No clear company X account found."
"Unblur Image by Uluch","unblur-image-by-uluch","missing","https://uluch.com","","0","No clear company X account found."
"VoxDeck","voxdeck","official_website","https://www.voxdeck.ai","@voxdeckai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.voxdeck.ai"
"EzSolve","ezsolve","official_website","https://plou.eu/product/mobile/ezsolve","@puresoftlabs","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://plou.eu/product/mobile/ezsolve"
"Singify AI Vocal Remover","singify-ai-vocal-remover","missing","https://singify.co/vocal-remover","","0","No clear company X account found."
"V03 AI Video Generator","v03-ai-video-generator","missing","https://v03ai.com","","0","No clear company X account found."
"Redesignr Ai","redesignr-ai","missing","https://redesignr.ai","","0","No clear company X account found."
"PrometAI","prometai","missing","https://prometai.app/business-plan-templates","","0","No clear company X account found."
"Archie","archie","missing","https://www.archie.com","","0","No clear company X account found."
"Marblism","marblism","missing","https://www.marblism.com","","0","No clear company X account found."
"PixieBrix","pixiebrix","official_website","https://www.pixiebrix.com","@pixiebrix","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.pixiebrix.com"
"Osum","osum","missing","https://osum.com","","0","No clear company X account found."
"Venturekit","venturekit","missing","https://www.venturekit.ai","","0","No clear company X account found."
"Photo AI","photo-ai","official_website","https://photoai.com","@levelsio","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://photoai.com"
"MyReport","myreport","missing","https://myreport.alaba.ai","","0","No clear company X account found."
"ResolveAI","resolveai","missing","https://resolveai.co","","0","No clear company X account found."
"Eightify","eightify","missing","https://www.eightify.app","","0","No clear company X account found."
"KeywordSearch","keywordsearch","missing","https://www.keywordsearch.com","","0","No clear company X account found."
"Stockimg AI","stockimg-ai","official_website","https://stockimg.ai/#?ref=taaft&utm_source=taaft&utm_medium=referral","@stockimgAI","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://stockimg.ai/#?ref=taaft&utm_source=taaft&utm_medium=referral"
"GetLogit","getlogit","missing","https://getlogit.com","","0","No clear company X account found."
"Veriff","veriff","official_website","https://www.veriff.com/plans/self-serve?promo=taaft15","@Veriff","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.veriff.com/plans/self-serve?promo=taaft15"
"lxi.ai","lxi-ai","missing","https://lxi.ai","","0","No clear company X account found."
"Pfpmaker","pfpmaker","official_website","https://pfpmaker.com","@pfpmakerapp","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://pfpmaker.com"
"QuillBot","quillbot","official_website","https://quillbot.com","@thequillbot","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://quillbot.com"
"Raplyrics","raplyrics","taaft","https://raplyrics.eu","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/Raplyrics/"
"Fetcher","fetcher","official_website","https://fetcher.ai","@fetcherai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://fetcher.ai"
"Watermelon","watermelon","official_website","https://www.watermelon.ai","@watermelonhq","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.watermelon.ai"
"Inbenta","inbenta","official_website","https://www.inbenta.com","@inbenta","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.inbenta.com"
"DigitalGenius","digitalgenius","official_website","https://digitalgenius.com","@DigitalGeniusAI","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://digitalgenius.com"
"B12 AI Website Builder","b12-ai-website-builder","missing","https://www.b12.io/free-draft","","0","No clear company X account found."
"remove.bg","remove-bg","official_website","https://www.remove.bg","@remove_bg","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.remove.bg"
"Skillroads","skillroads","official_website","https://skillroads.com","@skillroads","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://skillroads.com"
"Kavout","kavout","missing","https://www.kavout.com/?fpr=whatshuang","","0","No clear company X account found."
"AssemblyAI","assemblyai","missing","https://www.assemblyai.com","","0","No clear company X account found."
"Riskified","riskified","taaft","https://www.riskified.com","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/Riskified/"
"DataRobot","datarobot","missing","https://www.datarobot.com","","0","No clear company X account found."
"H2O.ai","h2o-ai","official_website","https://h2o.ai","@h2oai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://h2o.ai"
"Deep Beat","deep-beat","missing","https://deepbeat.org","","0","No clear company X account found."
"AI","ai","missing","https://ai-writer.com","","0","No clear company X account found."
"Deepdreamgenerator","deepdreamgenerator","missing","https://deepdreamgenerator.com/generate","","0","No clear company X account found."
