tool,slug,x_handle,tweets_returned,useful_count,bad_count,proof_quality_score,best_3_tweet_urls,notes
Replit,replit,@replit,20,5,5,50,https://x.com/lennysan/status/2062244343575187571 | https://x.com/sfo_primer/status/2062456762595172371 | https://x.com/NIftek/status/2062297112088281209,unclear_proof_value:4; spam_support_listicle_or_empty:1
Rocket,rocket,@rocketdotnew,20,7,3,70,https://x.com/sripathiteja4/status/2041572403789344851 | https://x.com/Freyabuilds/status/2047342400704860217 | https://x.com/RAVIKUMARSAHU78/status/2042594707478651021,unclear_proof_value:2; spam_support_listicle_or_empty:1
Runway,runway,@runwayml,20,6,4,60,https://x.com/chatgptpaglu/status/2061697916310340002 | https://x.com/stacy_muur/status/2061788423674109981 | https://x.com/Damn_coder/status/2062387103053558186,unclear_proof_value:4
Saveto AI,saveto-ai,@saveto_ai,1,0,1,0,,unclear_proof_value:1
Slack,slack,@slackhq,20,6,4,60,https://x.com/brlands/status/2061433163641954657 | https://x.com/aunder/status/2060132676976492706 | https://x.com/bitdisaster/status/2060450538639265889,unclear_proof_value:4
Stockimg AI,stockimg-ai,@stockimgAI,20,2,8,20,https://x.com/vince19visuals/status/1842915259553849766 | https://x.com/vince19visuals/status/1842647121637347584,unclear_proof_value:7; spam_support_listicle_or_empty:1
Subquadratic,subquadratic,@subquadratic,20,7,3,70,https://x.com/daniel_mac8/status/2055242277451129012 | https://x.com/GregKamradt/status/2054944935984685463 | https://x.com/AppenResearch/status/2054250325599510750,unclear_proof_value:3
Suno,suno,@suno,20,5,5,50,https://x.com/dafrankel/status/2062297338258075749 | https://x.com/bsomaia/status/2062189612844663045 | https://x.com/jackdbrody/status/2062196145535979979,unclear_proof_value:5
Synthesia,synthesia,@synthesiaio,20,6,4,60,https://x.com/SebJohnsonUK/status/2050844373311492205 | https://x.com/Tipwotip/status/2061679724599078923 | https://x.com/SebJohnsonUK/status/2046926114514190796,unclear_proof_value:4
Tendem,tendem,@Tendem_AI,2,2,0,100,https://x.com/TolokaAI/status/2027038512973775072 | https://x.com/TolokaAI/status/2054909596632764879,Top tweets show usable proof patterns.
V0,v0,@v0,20,6,4,60,https://x.com/aryamankhawow/status/2061822543674163332 | https://x.com/ainponce/status/2060436424248193462 | https://x.com/dominikkoch/status/2058658944906588240,unclear_proof_value:4
Vercel,vercel,@vercel,20,2,8,20,https://x.com/TracyMassaro_/status/2062258736509358455 | https://x.com/AgentPhoneHQ/status/2062266480419619215,unclear_proof_value:7; spam_support_listicle_or_empty:1
Veriff,veriff,@Veriff,20,6,4,60,https://x.com/MassPay_io/status/2020850873262395736 | https://x.com/ycombinator/status/1998489881048502659 | https://x.com/XChangeon/status/1971608901989929045,unclear_proof_value:4
VoxDeck,voxdeck,@voxdeckai,5,2,3,40,https://x.com/SarahAnnabels/status/1986086138617254179 | https://x.com/FellMentKE/status/1979765360074408225,unclear_proof_value:3
Windsurf,windsurf,@windsurf,20,7,3,70,https://x.com/jeffwsurf/status/2060381657358835886 | https://x.com/rasta_syntaX/status/2059218374966628838 | https://x.com/trynullsec/status/2060441669057581190,unclear_proof_value:3
Zapier,zapier,@zapier,20,5,5,50,https://x.com/imsalariasahil/status/2062120164817338494 | https://x.com/Tech_girlll/status/2061363350844416478 | https://x.com/senatorshoshana/status/2062269690257330670,unclear_proof_value:5
